ID,ID_person,Model,Power,Price
347,4537,Subaru,109.0,3608730
348,5304,LADA,384.0,1958624
351,9185,KIA,448.0,435015
352,5637,Mercedez-Benz,366.0,3901204
353,4553,Nissan,361.0,307432
354,16966,Ford,394.0,479667
355,13759,Subaru,285.0,3384167
356,6871,Nissan,378.0,2881850
357,13726,Mercedez-Benz,243.0,2638114
358,5421,Audi,271.0,1464661
359,3985,Nissan,92.0,2188921
361,8798,Daewoo,461.0,377733
362,2345,LADA,411.0,2714781
363,11372,Ford,458.0,1202259
364,16593,Toyota,460.0,2426444
365,2727,Subaru,434.0,1981321
367,17671,Audi,196.0,245696
368,475,LADA,117.0,2113286
369,3630,Mercedez-Benz,221.0,3561670
371,4470,Subaru,107.0,2365450
372,4677,Infiniti,386.0,387902
373,12341,BMW,411.0,2963015
374,8165,Mercedez-Benz,401.0,2575870
375,9209,Infiniti,463.0,3270412
377,17617,Infiniti,252.0,3703475
378,18069,Nissan,359.0,2286642
379,18379,Daewoo,210.0,3978758
380,19243,Nissan,353.0,3861266
381,904,Ford,222.0,2350849
382,16862,BMW,398.0,832348
383,17145,Nissan,484.0,821554
384,3183,LADA,389.0,393466
386,13254,LADA,192.0,3521880
387,15132,LADA,167.0,3509859
388,7448,Subaru,300.0,2935305
390,16627,Daewoo,354.0,1371679
392,9198,Audi,343.0,1394212
393,3018,Toyota,465.0,363470
394,9916,Toyota,189.0,3104893
395,7787,BMW,341.0,744032
396,3420,Infiniti,173.0,2893061
397,3699,KIA,334.0,2737188
398,19880,Mercedez-Benz,312.0,3353515
400,7496,Nissan,332.0,901993
401,9444,Audi,374.0,733022
402,17237,BMW,286.0,2176272
404,14021,Toyota,346.0,2828869
406,19746,Toyota,178.0,1224785
407,16993,Nissan,333.0,2453777
408,13458,Audi,424.0,1414668
409,9884,Infiniti,161.0,495982
410,446,LADA,330.0,2094286
413,2890,BMW,295.0,3651467
414,14145,KIA,471.0,1363775
415,19617,BMW,98.0,3819966
416,87,Mercedez-Benz,187.0,1563550
417,5036,Subaru,459.0,2545754
418,6885,Mercedez-Benz,117.0,836979
419,10359,Daewoo,349.0,888736
420,4642,BMW,123.0,3624807
421,8902,Ford,358.0,575128
422,8277,Ford,221.0,2169330
423,5704,Mercedez-Benz,115.0,3106002
425,5738,Subaru,472.0,1604715
426,15514,Audi,227.0,3273814
427,13052,Toyota,377.0,1442940
428,17375,Audi,335.0,3399743
432,18437,BMW,241.0,2205323
433,11345,Daewoo,217.0,3575086
434,346,Daewoo,333.0,3636969
435,19197,Nissan,132.0,1093530
436,16428,KIA,396.0,310813
437,17115,Daewoo,220.0,1249179
438,15798,Mercedez-Benz,269.0,2450896
439,13734,Subaru,415.0,2199718
440,18927,BMW,339.0,3044149
442,11513,BMW,325.0,3659976
443,17115,Audi,430.0,3898698
444,17877,Infiniti,82.0,1985580
445,9315,Audi,70.0,2025032
446,2204,Subaru,490.0,3992834
447,7320,Infiniti,403.0,2691794
448,17366,LADA,363.0,2761705
449,9634,BMW,70.0,2187917
450,19598,Infiniti,122.0,3292307
451,7411,Nissan,200.0,3148705
453,15875,KIA,216.0,2535634
454,2586,Audi,364.0,1745794
456,18066,Subaru,187.0,3590062
457,19723,KIA,232.0,3597152
459,1963,Subaru,137.0,536071
460,12863,Daewoo,198.0,727353
462,4971,KIA,476.0,796729
463,358,Daewoo,161.0,1705524
465,8063,Infiniti,227.0,3549115
466,8333,Mercedez-Benz,218.0,246678
468,3782,Audi,226.0,3526800
469,7896,KIA,251.0,3532873
471,10764,KIA,205.0,760313
472,2886,Toyota,209.0,1230663
473,12786,Ford,377.0,1173717
474,8046,Mercedez-Benz,182.0,2765848
475,11810,BMW,80.0,655019
477,5129,Toyota,243.0,2363919
479,6715,Subaru,282.0,308885
480,17910,Ford,126.0,1022288
481,13367,Audi,493.0,1884566
482,17391,Nissan,115.0,1551507
484,13681,Daewoo,499.0,1531312
485,12840,KIA,303.0,996798
486,14118,Daewoo,441.0,734962
487,9239,Ford,349.0,2197610
488,8844,Subaru,356.0,1162192
489,10219,Toyota,437.0,2466357
490,14630,Ford,221.0,3855519
491,6584,KIA,375.0,234867
492,3199,Infiniti,241.0,745638
493,6798,Daewoo,168.0,3392163
495,173,Toyota,476.0,1728988
496,11672,Nissan,242.0,2283843
497,12946,LADA,187.0,3998464
498,7632,Toyota,379.0,3254226
499,14643,Toyota,397.0,1325010
500,8852,LADA,136.0,1229695
501,13445,Ford,95.0,2690234
502,7007,Daewoo,160.0,3115967
503,13367,Mercedez-Benz,447.0,2225205
504,3661,Audi,191.0,277583
505,15842,Mercedez-Benz,421.0,3058630
506,10586,Toyota,166.0,1441215
507,4430,BMW,410.0,1421691
508,7938,KIA,247.0,2948574
510,3622,Toyota,475.0,3103378
511,1868,KIA,478.0,3949470
512,11199,Audi,279.0,1619002
513,5264,Infiniti,153.0,2404393
514,1231,Audi,142.0,2526449
515,18861,KIA,121.0,2868089
516,17541,Toyota,226.0,1587705
517,18586,BMW,102.0,2739228
518,10561,Ford,366.0,2861192
519,6984,Infiniti,301.0,486633
520,17644,Audi,309.0,2247482
521,5655,Subaru,366.0,1644957
522,5026,Audi,461.0,1417113
523,11671,Toyota,415.0,2547391
525,14567,Toyota,291.0,2004540
526,12834,BMW,356.0,3165327
528,18514,Ford,463.0,658558
529,1296,LADA,198.0,1986900
530,11648,Mercedez-Benz,101.0,821986
531,15622,Infiniti,496.0,1366996
533,4741,Nissan,225.0,2448544
534,19243,Mercedez-Benz,456.0,1415126
535,16980,Ford,412.0,3657530
536,2926,BMW,382.0,2009873
537,19179,KIA,437.0,2704200
538,11129,Audi,211.0,208391
539,10033,BMW,475.0,520537
540,13681,Toyota,75.0,1877633
541,643,Subaru,431.0,3969313
542,6433,Infiniti,258.0,1711286
543,14041,Toyota,358.0,1362920
545,15180,LADA,152.0,3686076
546,469,LADA,164.0,1823838
548,6111,Infiniti,420.0,3965795
549,5625,Subaru,478.0,2386849
550,13889,Nissan,176.0,3085061
551,5119,Daewoo,480.0,2458233
552,7858,Daewoo,454.0,2791808
553,6258,Subaru,394.0,1781171
555,11233,Infiniti,489.0,2380392
558,6375,Daewoo,332.0,515734
559,9694,KIA,470.0,844591
560,10304,Nissan,228.0,3228847
561,9013,Subaru,480.0,1341510
562,13935,Mercedez-Benz,205.0,2010492
563,3243,Ford,357.0,1857024
565,12674,Nissan,467.0,3716588
566,5639,Daewoo,233.0,1132885
567,12470,Mercedez-Benz,440.0,1782410
568,15649,Subaru,191.0,2123453
569,14319,Subaru,306.0,2086108
570,5771,Nissan,252.0,2567227
571,1624,Mercedez-Benz,128.0,1620253
572,13748,Subaru,494.0,317576
573,5809,Ford,347.0,1983975
574,18774,Toyota,108.0,1239048
575,14761,Audi,468.0,3733681
576,8690,Ford,340.0,3139284
578,9600,Audi,244.0,2412262
579,13490,BMW,180.0,1753916
580,18058,Nissan,277.0,3005425
581,1748,Daewoo,306.0,355850
583,3675,BMW,190.0,537404
585,10204,Daewoo,265.0,2986670
586,15704,Subaru,378.0,3039003
588,16712,Audi,192.0,1866183
589,1757,Subaru,343.0,2834748
593,4640,Mercedez-Benz,127.0,1228911
594,19875,Daewoo,85.0,275155
595,9096,Ford,479.0,1790664
596,8535,Infiniti,202.0,1398635
597,665,LADA,191.0,2099720
598,8608,Ford,313.0,1266015
599,1832,Ford,464.0,2269775
600,19312,KIA,337.0,2588645
602,7359,Ford,278.0,3313851
603,467,Infiniti,469.0,2956206
605,9831,Infiniti,323.0,3466326
607,12169,LADA,116.0,3936722
608,14754,Infiniti,222.0,664468
609,11998,LADA,263.0,3585818
610,6061,Subaru,159.0,3193202
611,15404,Ford,155.0,2492121
612,17480,Infiniti,156.0,3818666
613,15100,Subaru,174.0,627903
614,1227,Nissan,205.0,2265858
615,1683,Toyota,197.0,1172687
616,19396,Infiniti,310.0,1265074
618,6950,Ford,406.0,722000
622,14144,Toyota,493.0,2627227
623,3700,Daewoo,140.0,3154943
624,13167,KIA,252.0,764044
625,1384,Ford,318.0,3113540
626,6809,KIA,410.0,3437267
627,18375,Daewoo,178.0,1248637
628,11789,Daewoo,264.0,3848720
629,17667,LADA,435.0,1425185
630,146,LADA,94.0,1014168
631,13374,BMW,452.0,658820
632,4196,BMW,183.0,434203
633,6269,Subaru,386.0,2212235
634,1585,Audi,271.0,476854
635,6507,Daewoo,351.0,2351884
636,18973,Audi,289.0,1677309
637,18912,Infiniti,215.0,1110273
638,9584,KIA,465.0,2172141
640,8602,Ford,365.0,3532583
641,10712,Toyota,129.0,3828435
642,15162,Infiniti,466.0,3088359
643,12212,Nissan,388.0,1997135
644,10670,Toyota,486.0,2093337
645,2387,Daewoo,147.0,1309688
646,14448,Mercedez-Benz,320.0,2384237
647,8295,Nissan,236.0,1638281
648,12523,Subaru,311.0,3632597
650,5439,Ford,215.0,1512342
651,16712,Ford,483.0,1917137
653,496,Audi,300.0,3483942
654,15135,Toyota,269.0,2131677
655,18481,Nissan,213.0,1412865
656,7758,Toyota,351.0,3493740
657,12913,Daewoo,104.0,2012942
658,581,Daewoo,243.0,2244753
659,944,KIA,105.0,1306207
661,2833,Daewoo,299.0,1726854
662,17417,LADA,488.0,1820859
665,8487,Toyota,142.0,3645586
666,17791,LADA,366.0,2336366
667,4905,Mercedez-Benz,121.0,2558944
668,13356,LADA,485.0,391506
669,18144,Infiniti,433.0,2304956
670,767,BMW,247.0,1805082
672,6123,Audi,248.0,1487351
673,13460,Infiniti,173.0,3847542
674,110,Mercedez-Benz,206.0,3167853
675,19800,Audi,354.0,1880608
676,11091,BMW,214.0,3289269
677,10656,Toyota,401.0,1173277
680,3387,Mercedez-Benz,419.0,1768152
681,18210,Nissan,131.0,3581877
682,7569,Ford,409.0,3341537
684,7536,Audi,410.0,2180142
686,12702,Toyota,484.0,3902986
687,8274,Subaru,333.0,1563938
688,19023,Toyota,116.0,2583251
690,16366,Nissan,213.0,316921
691,14406,Daewoo,265.0,3981420
694,12769,Audi,131.0,1919787
696,18429,Infiniti,417.0,3918986
698,8854,Subaru,452.0,2543324
701,7238,Nissan,446.0,3161652
703,8256,Audi,279.0,1205324
705,16838,Subaru,305.0,2520014
707,16406,LADA,146.0,2590350
710,10965,Audi,123.0,662871
711,422,Daewoo,73.0,1361913
712,14890,Nissan,372.0,3860763
713,17736,KIA,454.0,1159707
714,4132,Subaru,115.0,1727326
715,4973,Infiniti,443.0,772148
716,11675,KIA,272.0,2710645
718,18412,Toyota,352.0,228831
719,947,Mercedez-Benz,337.0,2979084
721,9595,Mercedez-Benz,377.0,2957826
722,1481,Daewoo,292.0,3879068
723,11103,Daewoo,349.0,2653995
724,14368,LADA,178.0,3398865
725,4399,LADA,440.0,1284273
727,3198,Infiniti,247.0,3048496
728,2857,Infiniti,394.0,3142972
729,11217,Audi,163.0,1871680
731,15373,Ford,416.0,2483617
732,19609,Audi,476.0,1581136
733,3317,Audi,276.0,367423
735,19432,Nissan,220.0,1357832
736,8583,Toyota,429.0,2449053
737,8514,Nissan,438.0,2208418
738,4014,Nissan,329.0,2268772
739,8868,Mercedez-Benz,345.0,1202163
740,18187,LADA,89.0,414271
741,952,KIA,121.0,3273939
744,10062,Infiniti,264.0,2439110
746,3211,KIA,291.0,1499774
747,1174,Ford,194.0,3627671
748,9908,LADA,418.0,2534690
750,4299,Subaru,279.0,3607493
751,5229,BMW,343.0,2241826
752,5766,Nissan,72.0,2085318
753,986,Toyota,222.0,3945912
755,6251,Nissan,150.0,2354434
756,13495,Audi,106.0,2102841
757,3043,Audi,373.0,2352327
760,18771,Subaru,367.0,1024978
762,13408,BMW,375.0,3334617
763,16547,Toyota,373.0,1704665
764,1355,Toyota,408.0,1964349
765,14216,Toyota,164.0,1227405
766,16545,Mercedez-Benz,81.0,1866428
768,14461,KIA,310.0,217932
769,2935,BMW,125.0,2982146
770,10037,BMW,328.0,526335
771,14505,Nissan,262.0,1040937
773,5090,Mercedez-Benz,360.0,3178567
776,16340,Ford,489.0,2149451
777,13080,LADA,457.0,1964289
778,9559,Nissan,318.0,2372291
779,3984,Nissan,145.0,1447626
780,4745,BMW,163.0,319262
781,18504,Daewoo,495.0,2710989
782,10753,Subaru,290.0,1620761
783,15634,Infiniti,354.0,1750553
784,16420,Toyota,306.0,2295412
785,5519,Mercedez-Benz,153.0,2796969
786,6249,Nissan,91.0,3468070
787,8246,Ford,126.0,3534461
788,8872,Toyota,417.0,3345179
790,15093,KIA,443.0,3187562
791,1894,Nissan,212.0,936301
792,18441,Infiniti,465.0,794239
793,6475,Daewoo,80.0,2894246
794,14775,Nissan,432.0,1218552
795,17724,LADA,192.0,2079999
796,16836,Nissan,92.0,1980755
797,11751,Toyota,410.0,1554367
798,16708,Nissan,283.0,2958332
799,5262,Infiniti,320.0,1549195
800,10135,Audi,302.0,294242
801,14346,Daewoo,373.0,834537
802,18758,KIA,251.0,1775039
803,9685,Audi,124.0,1533654
804,4710,Toyota,448.0,3701050
806,14313,Ford,396.0,3347210
807,4223,Daewoo,183.0,3685103
808,6321,Toyota,121.0,1308431
809,13126,BMW,296.0,672677
810,7186,Toyota,403.0,565625
811,8071,Daewoo,252.0,1999028
812,1880,BMW,362.0,2685218
814,9884,Mercedez-Benz,299.0,1637558
815,11219,Infiniti,153.0,2584813
816,17632,LADA,259.0,877566
817,5082,Daewoo,378.0,3194019
818,15579,Audi,133.0,2915591
819,16541,KIA,169.0,924106
821,7123,Audi,244.0,3620223
822,3428,LADA,122.0,272945
823,17536,Infiniti,82.0,3246307
824,166,Nissan,346.0,3573198
825,15029,KIA,284.0,3364833
827,7419,BMW,230.0,1113265
828,19736,Mercedez-Benz,171.0,803690
829,14041,Infiniti,156.0,3985132
831,14751,Nissan,469.0,3886947
832,18962,Subaru,493.0,1567170
833,11815,Ford,436.0,578600
834,11161,Subaru,290.0,2694348
835,14183,Toyota,175.0,3763011
836,1515,Toyota,476.0,3897449
838,15163,Toyota,145.0,3226012
840,2120,Daewoo,158.0,1705453
841,2461,KIA,354.0,490829
842,15532,KIA,282.0,3064060
843,16448,Audi,320.0,2435139
844,3748,Toyota,490.0,1787608
845,12475,Mercedez-Benz,171.0,3202357
846,18321,Mercedez-Benz,133.0,2427128
847,13125,Subaru,473.0,3477518
848,6172,Subaru,78.0,1113301
849,15665,Mercedez-Benz,481.0,1877959
851,756,Ford,496.0,1289058
852,10652,BMW,340.0,3736969
853,12772,Ford,454.0,2790851
854,8603,Toyota,156.0,2565198
855,18203,KIA,115.0,3226620
856,11400,Subaru,329.0,1471306
858,17571,Infiniti,139.0,1554759
859,15574,Toyota,148.0,493480
861,19563,BMW,292.0,1041687
863,13694,KIA,477.0,2460020
865,17526,Subaru,402.0,1197292
866,9716,KIA,483.0,688766
867,5046,Nissan,348.0,1654800
868,9768,Toyota,128.0,2935227
870,8773,Audi,394.0,252404
871,1597,Infiniti,391.0,2117164
873,16063,KIA,284.0,2030814
874,17826,Nissan,341.0,1565503
875,19667,Nissan,358.0,1045289
877,2884,Nissan,353.0,1185345
878,636,BMW,392.0,3578434
879,3672,Audi,131.0,1925138
880,16758,Audi,412.0,2378940
881,2149,Subaru,82.0,3530854
882,16989,Toyota,192.0,3433892
883,3460,BMW,439.0,3178672
884,5199,BMW,209.0,825368
885,8711,Ford,497.0,890455
886,5852,KIA,315.0,1212543
887,1800,Daewoo,338.0,2727459
888,10054,Daewoo,276.0,3203842
889,2652,Subaru,471.0,1443593
890,8445,Nissan,358.0,1366795
892,15676,Nissan,173.0,1410091
893,12476,Nissan,261.0,1299891
894,16862,Mercedez-Benz,101.0,1301136
895,2540,Mercedez-Benz,430.0,353005
896,8578,Daewoo,108.0,418706
897,14074,Nissan,159.0,1464454
899,1620,Toyota,461.0,2544387
900,2032,KIA,312.0,3412761
901,8245,Infiniti,301.0,471907
902,2570,Nissan,331.0,1484381
903,3771,Ford,426.0,1020794
905,15749,BMW,189.0,574642
906,3997,Subaru,285.0,1302009
907,405,Subaru,388.0,1981593
908,3965,Subaru,182.0,866028
909,14546,Infiniti,451.0,598839
911,18002,Nissan,159.0,3820670
913,8526,Daewoo,300.0,1431125
914,17168,Mercedez-Benz,87.0,1613048
915,9829,KIA,371.0,2346936
916,19457,Subaru,171.0,2938353
917,19366,LADA,96.0,3466672
918,18546,KIA,140.0,3367836
919,2908,BMW,185.0,800668
923,4625,Subaru,108.0,3642844
924,10228,Mercedez-Benz,291.0,3434077
925,428,BMW,107.0,3364868
926,4938,Nissan,482.0,942937
928,10195,Audi,154.0,912960
929,439,Daewoo,417.0,2140522
930,7341,Ford,328.0,2205162
932,9735,BMW,291.0,2666301
935,6958,KIA,138.0,2258113
936,18125,Subaru,425.0,1352950
937,1278,KIA,218.0,2792900
938,6895,Infiniti,204.0,1805135
939,7230,Daewoo,485.0,3104168
941,8702,Toyota,122.0,2595207
942,14737,Toyota,393.0,885130
943,15088,Daewoo,196.0,3480364
944,15659,KIA,403.0,3072179
945,6307,LADA,409.0,1134827
946,10158,Infiniti,236.0,724089
947,8970,Infiniti,150.0,3224742
948,18203,KIA,226.0,1216801
950,7870,Ford,74.0,2155543
951,8150,Toyota,191.0,1039063
952,7274,Mercedez-Benz,439.0,1383254
