ID,ID_person,Square,Rooms,Price
357,11995,71,4.0,26270
358,10608,33,1.0,10725
359,15754,36,1.0,9684
360,8666,44,2.0,16104
361,8036,108,4.0,38124
362,7171,89,5.0,20648
363,4426,87,4.0,29667
364,10913,35,1.0,13965
365,333,109,4.0,38695
367,16258,113,5.0,29267
368,15649,65,2.0,13650
370,10030,91,3.0,30667
371,13918,127,6.0,32004
372,9841,61,2.0,20618
373,4027,109,5.0,35425
374,5152,105,4.0,36015
375,18407,101,5.0,21513
377,693,129,5.0,50955
379,8902,63,2.0,19530
380,17141,104,6.0,37128
381,9353,111,7.0,22533
382,17296,73,3.0,19126
383,1019,36,2.0,9108
384,7896,124,5.0,24800
386,10053,39,1.0,10881
387,3438,124,5.0,34968
388,13550,110,5.0,29150
389,10987,47,1.0,14194
390,19908,94,3.0,32806
391,18907,94,5.0,37224
392,5471,83,4.0,22825
393,10958,89,3.0,35511
395,8492,67,2.0,22847
396,9156,51,2.0,12342
397,6273,95,4.0,34295
398,2270,96,5.0,36192
399,9137,123,7.0,29397
400,13700,84,4.0,18060
401,18577,55,3.0,20515
402,1520,69,3.0,18561
403,19964,82,5.0,24272
404,14321,84,3.0,22176
405,16453,63,2.0,24822
406,6008,102,4.0,22848
407,18488,100,4.0,36400
408,12581,96,5.0,27648
409,12273,89,4.0,34265
411,12372,51,2.0,11424
412,4036,47,3.0,16497
413,18862,32,2.0,10304
414,11864,50,2.0,18350
415,6110,101,5.0,33128
416,15434,45,2.0,15255
417,5135,63,4.0,18333
418,13305,91,3.0,34580
420,19187,81,4.0,28269
421,11451,78,3.0,18096
422,12040,40,2.0,8320
423,18861,58,2.0,18966
424,15884,98,4.0,20188
425,10246,91,6.0,26754
426,706,50,2.0,10250
427,16860,87,5.0,18531
429,13407,92,4.0,33580
430,4502,53,2.0,10653
431,16831,85,4.0,31280
432,12496,32,2.0,11584
433,16711,68,2.0,14620
434,14931,72,3.0,27072
436,7332,116,4.0,40252
438,7748,127,7.0,37084
439,7755,91,4.0,33397
441,19843,59,3.0,16107
443,16107,53,3.0,16218
444,5477,40,2.0,9200
446,17119,120,7.0,43560
450,18668,32,1.0,10016
451,7369,92,4.0,26496
454,8929,56,3.0,13160
455,14421,80,3.0,23920
456,12193,70,3.0,15680
457,318,43,2.0,12470
458,6348,88,3.0,29128
461,14592,82,4.0,19270
462,16319,41,1.0,14842
463,142,88,4.0,33440
464,6406,106,5.0,29256
465,4762,38,1.0,9272
467,6460,79,3.0,25043
470,15100,49,2.0,17542
471,13697,68,3.0,16728
473,15100,44,2.0,17336
474,9877,111,4.0,32856
475,6470,59,2.0,12744
476,12472,92,6.0,27416
477,11082,126,6.0,34020
478,17234,99,4.0,38313
479,5278,31,1.0,11811
480,19014,84,3.0,26964
481,6958,105,4.0,25200
482,7939,67,3.0,20100
483,4473,81,3.0,28755
485,9351,41,1.0,8979
486,1573,85,3.0,21930
487,18793,88,3.0,20504
489,6366,116,7.0,34220
490,15873,88,4.0,32120
491,15331,78,3.0,21684
492,1304,37,2.0,7881
494,6268,89,4.0,26077
495,7654,76,3.0,20976
496,12151,91,4.0,34034
497,2465,68,4.0,17272
498,11303,62,2.0,20398
499,8346,96,4.0,34176
500,19252,53,2.0,15423
501,15629,87,5.0,22272
502,18432,112,4.0,23184
503,19836,110,7.0,34210
504,6099,81,5.0,24624
505,17390,104,5.0,39416
506,10648,96,6.0,29088
508,12908,113,5.0,44070
510,6198,124,5.0,33976
511,4983,60,3.0,18840
512,16113,52,3.0,16224
513,16832,67,4.0,16348
514,13425,94,4.0,36472
515,2260,53,3.0,13144
516,19807,45,2.0,9315
517,8806,80,5.0,19680
518,11728,69,3.0,22218
519,11373,91,5.0,27391
520,11840,125,6.0,39000
521,14652,50,2.0,10450
522,12795,47,3.0,15416
524,11957,104,5.0,30160
526,1360,64,3.0,24320
528,9684,82,3.0,29684
529,7764,95,5.0,37240
530,2294,93,4.0,28551
531,17818,58,2.0,12412
532,3805,70,4.0,25480
533,14719,37,2.0,12987
534,19543,44,1.0,15972
535,12425,109,7.0,40984
536,15125,124,5.0,35960
537,11439,82,3.0,19434
538,13016,83,4.0,21248
539,415,67,3.0,16750
540,17277,114,4.0,26904
541,10198,125,7.0,41500
542,699,84,3.0,29904
543,3724,75,4.0,22275
544,9063,93,4.0,30690
545,7472,94,6.0,26508
548,15364,98,5.0,23520
549,6252,68,3.0,15980
550,5194,69,2.0,26979
551,11148,79,4.0,27492
552,4484,92,4.0,32108
553,3725,34,1.0,11356
555,5449,108,6.0,25596
556,11577,52,3.0,19396
557,10863,58,2.0,18676
558,11697,83,4.0,24817
559,12822,97,6.0,27160
560,19829,122,6.0,47580
561,12896,64,2.0,16128
562,165,34,1.0,12070
563,4429,124,7.0,24924
564,3120,32,2.0,8448
565,18989,88,5.0,29128
566,4542,109,4.0,30520
568,1586,37,1.0,8251
569,8379,77,5.0,18172
571,14238,116,5.0,35960
573,2677,94,5.0,27542
574,14883,50,3.0,18700
577,19975,88,4.0,33616
578,13201,108,4.0,39204
579,10286,34,1.0,13498
580,15151,59,2.0,14750
583,2451,68,2.0,15028
584,13919,85,5.0,24565
585,17685,123,7.0,44649
586,9683,30,1.0,11940
588,19928,79,3.0,16195
590,742,120,6.0,32880
591,3749,110,5.0,35090
592,9875,53,3.0,10706
593,16926,120,6.0,39480
596,8300,52,2.0,18096
597,9488,116,6.0,29000
598,9608,101,4.0,29189
599,16298,70,4.0,22330
600,4368,97,4.0,36957
601,18374,65,3.0,24700
602,2675,74,3.0,19610
603,10519,117,5.0,34047
604,18601,51,2.0,16983
606,8750,56,2.0,12656
607,17680,40,1.0,14520
608,18603,51,2.0,18513
609,4402,87,3.0,24012
611,14335,77,5.0,17094
612,17458,93,5.0,30411
613,13965,79,3.0,22831
614,8739,47,2.0,10951
615,18095,98,4.0,22638
616,5943,63,3.0,12663
617,465,115,5.0,35190
620,712,106,5.0,41658
621,15178,36,1.0,8136
622,11316,89,4.0,22517
624,18747,41,2.0,13940
625,7409,71,3.0,22081
626,1770,109,6.0,32264
628,5143,119,5.0,43197
629,2564,55,2.0,13090
630,4280,31,1.0,11811
631,2627,115,6.0,35305
632,18587,56,2.0,18480
633,11522,129,6.0,48633
634,1091,114,7.0,36822
635,11475,70,3.0,17850
637,3960,38,1.0,14402
638,7205,71,3.0,19596
639,2823,38,2.0,9614
640,17982,108,6.0,42120
641,3144,88,4.0,25168
642,8606,82,3.0,29602
643,12018,64,4.0,18176
644,7088,119,7.0,36533
645,7532,34,1.0,12410
646,18187,78,3.0,29406
647,8961,76,5.0,30324
648,11484,114,6.0,40128
649,9433,47,2.0,17390
650,8425,59,2.0,14337
652,13103,47,2.0,15980
653,2272,76,3.0,28728
654,2922,86,4.0,25026
655,10999,91,6.0,22022
656,19152,103,6.0,24308
657,8084,40,2.0,14400
658,10320,78,3.0,16692
661,8880,107,4.0,40339
662,5959,32,1.0,6688
663,10115,108,7.0,41472
665,7052,95,6.0,26505
667,13833,123,6.0,34563
668,12358,115,6.0,25645
669,1417,129,5.0,44247
670,14355,102,6.0,35598
671,5999,97,6.0,32592
672,6009,44,2.0,12848
673,17676,98,5.0,36456
674,7242,45,3.0,16200
675,5555,56,2.0,21504
676,13551,49,2.0,18424
677,9119,68,4.0,21148
678,3116,105,6.0,32235
680,9278,128,5.0,29824
681,18176,65,2.0,22035
682,16867,64,4.0,18368
683,408,81,4.0,16524
684,1735,76,3.0,21280
685,7004,113,7.0,37403
686,724,71,3.0,26696
687,2276,127,7.0,40640
688,4510,74,4.0,17686
690,7362,103,4.0,27192
691,13618,94,6.0,33088
692,18050,53,2.0,12243
693,9153,124,7.0,45260
694,12875,57,2.0,22401
695,3177,57,3.0,21774
697,11629,110,6.0,32670
698,7823,35,1.0,8365
699,15032,42,1.0,16296
700,14302,123,5.0,40344
701,11497,105,7.0,34965
702,14125,106,6.0,28196
703,5216,99,5.0,31284
704,2172,94,3.0,28388
705,16693,46,2.0,9200
706,12212,84,3.0,21840
708,9261,99,5.0,20691
710,6310,105,6.0,26565
711,16764,103,6.0,25235
714,5282,95,6.0,30020
715,14653,74,4.0,17760
716,19192,108,6.0,37260
717,5045,30,1.0,6270
718,16888,55,2.0,11110
719,14810,36,2.0,12528
721,17610,112,4.0,29344
723,5145,124,5.0,44888
724,3956,80,4.0,21280
725,7505,57,3.0,19152
726,13431,117,5.0,27144
727,1741,124,5.0,49104
728,4833,48,2.0,14304
729,12381,102,5.0,28968
730,17839,102,5.0,35496
731,9917,115,6.0,44965
732,18447,45,3.0,14490
734,15555,116,7.0,28304
735,18553,101,5.0,35855
736,17618,73,3.0,28835
737,8811,64,3.0,21696
738,971,54,3.0,16902
739,12250,92,5.0,22172
740,18757,118,5.0,37878
741,9506,80,3.0,18800
742,15162,109,4.0,37605
744,10457,34,1.0,7310
745,6688,70,3.0,18410
746,12808,128,8.0,28032
747,5432,78,5.0,22542
748,2966,44,1.0,16764
749,3308,108,4.0,36072
750,16025,61,2.0,15555
751,7945,96,4.0,33600
752,1083,48,2.0,12048
753,1656,116,7.0,43848
754,18327,100,5.0,35900
755,19538,81,4.0,23733
757,18599,91,4.0,35763
760,16503,39,2.0,10413
762,12645,78,3.0,23790
766,15476,42,2.0,14280
767,4602,41,2.0,13038
768,11642,113,5.0,36273
770,15076,54,3.0,17388
771,14059,115,5.0,36225
772,4853,40,2.0,14040
773,3738,91,5.0,20384
774,3486,77,3.0,29799
776,16240,97,5.0,22213
777,4412,115,5.0,35880
778,11424,55,3.0,12100
779,1799,49,2.0,11074
781,13911,57,2.0,14022
782,12702,119,4.0,34986
784,283,32,1.0,7296
785,6804,112,5.0,44576
786,15917,100,4.0,23000
787,6196,61,3.0,20923
788,9454,91,3.0,19838
789,11933,40,2.0,15680
791,5007,61,2.0,14884
792,12905,92,4.0,34132
794,17557,79,5.0,31284
795,12609,35,1.0,11095
796,6942,108,7.0,22464
797,7473,33,1.0,10758
798,12112,105,6.0,36120
799,14872,73,4.0,18907
800,3291,44,1.0,13068
801,11711,118,5.0,45784
803,3307,102,4.0,34170
806,18451,82,4.0,21484
807,9303,56,3.0,12880
808,17107,96,4.0,23136
809,13935,60,3.0,21900
810,16191,101,6.0,34340
811,8141,79,4.0,28756
812,1401,101,5.0,23331
813,7314,118,6.0,40356
814,10459,43,1.0,16942
815,15384,108,4.0,25164
816,2154,76,3.0,20140
817,10346,58,2.0,20590
819,18384,82,3.0,27060
820,913,55,2.0,14575
821,6117,67,2.0,24790
822,15023,60,3.0,15360
823,11408,126,7.0,26586
824,12531,86,3.0,20210
825,17714,70,4.0,17360
826,15572,64,3.0,23808
827,5622,60,3.0,22080
829,6673,90,3.0,34740
830,7764,78,3.0,25038
831,9432,53,2.0,17225
832,3877,75,3.0,28875
833,5939,39,2.0,13143
837,4346,94,3.0,28106
839,11442,65,3.0,13130
840,10741,128,6.0,28928
842,12105,62,3.0,14942
843,15371,125,8.0,49250
844,2243,85,4.0,25925
845,1267,72,4.0,27720
848,9479,41,2.0,8446
849,13121,125,8.0,33625
850,1467,34,1.0,13124
851,9694,99,4.0,29502
852,3355,94,4.0,31772
853,2388,91,4.0,28938
854,9549,56,2.0,21280
855,3929,59,3.0,19883
856,4304,34,1.0,8670
857,7608,45,2.0,17595
859,4899,126,8.0,37296
860,5876,108,7.0,27972
861,12326,36,1.0,13320
862,12988,71,3.0,21300
864,691,85,4.0,27370
866,4732,128,7.0,44416
867,4493,59,3.0,16874
868,9271,69,2.0,20148
869,9153,124,6.0,34472
871,1022,95,4.0,31540
873,17905,46,2.0,14030
874,19840,124,7.0,37324
875,4203,127,6.0,27305
876,9503,40,2.0,11800
877,18410,64,3.0,17408
879,1177,53,2.0,13303
881,18772,81,4.0,31428
883,8644,88,4.0,27544
885,1409,106,5.0,26182
886,19085,86,5.0,31132
887,18448,109,7.0,34117
888,17958,87,4.0,34452
889,16383,40,1.0,10960
890,19351,75,4.0,28425
892,8312,34,1.0,8160
893,1762,120,5.0,42840
894,18933,105,5.0,35805
895,18491,98,4.0,33026
897,2039,70,3.0,20650
898,14597,49,2.0,13769
899,11960,69,3.0,27117
900,3029,80,4.0,20320
901,8427,85,4.0,18275
902,7777,33,2.0,8019
904,11244,129,8.0,50052
905,9012,79,3.0,23305
906,15046,54,2.0,16308
907,18705,37,1.0,14060
908,231,33,2.0,8976
909,1931,66,2.0,21384
910,3931,96,6.0,30432
911,18943,79,4.0,17538
913,15387,102,4.0,32742
914,16156,107,5.0,38841
915,6406,124,8.0,40548
917,10425,96,5.0,31584
918,8899,69,3.0,16422
919,5488,125,6.0,47375
921,16448,110,5.0,37950
922,6962,65,2.0,17485
923,19520,92,5.0,28428
924,3525,63,3.0,22365
925,13819,61,4.0,13115
926,2615,122,5.0,35624
927,9317,45,1.0,12060
928,14141,129,5.0,44118
929,17079,43,2.0,9718
930,744,76,4.0,25840
932,11079,102,5.0,21522
933,9099,67,2.0,26532
936,5990,33,2.0,10527
938,4274,112,5.0,24864
939,12602,101,4.0,23533
942,19791,68,4.0,26452
943,17861,87,4.0,23316
944,2948,57,2.0,13680
945,2426,105,7.0,39375
946,5453,40,2.0,15720
947,1453,117,6.0,37557
948,16597,66,4.0,15642
949,11348,122,5.0,24644
951,17625,119,7.0,37842
952,3652,30,1.0,6780
953,9275,86,5.0,32766
954,7548,117,7.0,34983
955,10971,32,2.0,6656
956,14481,51,2.0,11373
957,16558,115,4.0,34270
959,7962,101,4.0,23634
960,11560,115,6.0,34155
961,5961,45,2.0,9855
962,6280,101,4.0,33936
963,19664,47,2.0,15369
964,13183,65,2.0,20735
965,4476,32,1.0,10848
967,6728,104,5.0,38480
968,9347,103,4.0,25441
969,8264,30,1.0,7890
970,15989,37,1.0,10582
971,15087,91,3.0,22841
972,3327,90,5.0,22590
973,3005,71,3.0,27122
974,8635,65,3.0,17615
977,6681,50,3.0,15200
978,3661,64,3.0,22912
980,2033,95,4.0,23085
981,1023,51,3.0,19890
982,18384,39,1.0,12051
983,13482,113,7.0,43731
984,2877,123,6.0,27060
985,12345,84,4.0,21168
986,18452,81,4.0,28593
987,10024,94,4.0,23218
988,3596,42,1.0,12978
990,1215,79,3.0,22673
991,9761,126,5.0,32508
993,19429,118,5.0,41064
994,8366,113,6.0,36838
996,7598,112,5.0,26880
997,10285,45,3.0,15435
998,16043,123,6.0,42066
999,15772,52,2.0,18876
1000,4580,95,4.0,34200
1001,16120,106,7.0,25334
1002,512,45,2.0,9675
1004,12720,78,4.0,24960
1005,4265,38,1.0,9196
1006,13768,122,5.0,38064
1007,8940,115,5.0,45195
1008,6206,86,5.0,27262
1009,12916,87,4.0,20532
1010,8164,109,4.0,26378
1011,8748,123,8.0,42681
1012,2994,89,3.0,29904
1013,12105,73,3.0,23068
1014,1338,87,4.0,22881
1015,13560,126,6.0,31122
1016,18711,119,5.0,27489
1017,17514,87,4.0,28449
1019,6627,117,6.0,43992
1022,15650,62,3.0,18538
1023,1904,57,2.0,18069
1025,7234,127,5.0,44323
1026,1506,109,4.0,38150
1028,7848,90,3.0,26550
1029,13647,127,8.0,45339
1030,7662,108,4.0,23220
1031,7064,79,4.0,19434
1032,5695,113,4.0,36047
1033,15728,33,1.0,8943
1034,4161,54,2.0,15390
1035,3107,70,3.0,17500
1036,3475,102,5.0,38760
1037,4253,128,5.0,43520
1038,5283,105,7.0,36960
1041,8939,68,3.0,19516
1042,13303,112,6.0,23856
1043,11219,115,6.0,28980
1044,18528,56,3.0,12432
1045,8373,87,4.0,32016
1047,1512,35,1.0,7140
1048,7615,66,4.0,25806
1049,19609,116,6.0,38396
1050,9370,91,4.0,28756
1051,2878,107,4.0,26750
1053,19496,70,3.0,20860
1055,8870,75,3.0,23025
1057,15291,116,6.0,38512
1058,3330,100,6.0,36400
1059,7009,63,3.0,14679
1061,12784,106,4.0,35934
1062,7561,121,5.0,30250
1063,18926,122,7.0,33306
1064,18887,59,3.0,12095
1065,12683,118,4.0,29264
1066,12500,126,6.0,30870
1067,18355,37,2.0,8436
1068,6404,38,1.0,13148
1069,841,58,3.0,21808
1070,15616,99,6.0,28710
1071,4433,108,4.0,39528
1072,15980,116,5.0,45124
1073,13377,69,4.0,17871
1075,18798,87,4.0,24273
1077,11960,37,1.0,10878
1078,4236,48,3.0,13008
1080,14584,46,1.0,16054
1081,6766,129,7.0,32766
1082,4858,60,2.0,22860
1083,13784,45,2.0,12645
1084,16025,34,2.0,7854
1085,3636,125,5.0,30000
1088,13322,117,6.0,37557
1089,18152,114,7.0,31350
1090,18267,41,2.0,11480
1091,2526,106,6.0,28726
1092,16770,53,3.0,16377
1093,9068,110,5.0,42020
1094,10191,89,4.0,29370
1095,1456,53,2.0,13833
1096,1069,126,7.0,31374
1098,8984,123,5.0,45018
1099,10684,53,3.0,13250
1100,1842,36,1.0,11088
1101,12596,111,4.0,33855
1102,138,120,5.0,34680
1104,18292,91,4.0,32578
1105,9973,103,4.0,37698
1106,2457,38,2.0,10184
1107,12271,83,3.0,25730
1108,14808,46,2.0,18262
1109,17404,63,4.0,23751
1110,14718,35,1.0,13650
1111,17949,102,6.0,30600
1113,11306,47,2.0,13254
1114,125,41,2.0,8897
1115,8565,108,5.0,29052
1116,2319,102,4.0,33354
1117,19403,119,5.0,23919
1118,14170,64,2.0,20480
1119,65,129,5.0,51213
1120,9238,71,4.0,21442
1121,9418,111,5.0,40959
1122,19884,99,6.0,20691
1123,3192,118,6.0,29382
1124,17194,67,4.0,15879
1125,16502,67,3.0,22043
1126,8915,98,4.0,27930
1127,2067,98,5.0,31752
1128,10324,76,5.0,15428
1129,5153,31,1.0,9331
1131,6366,77,3.0,21252
1133,7744,98,4.0,29792
1134,18849,77,3.0,24717
1135,13794,77,3.0,21406
1137,16988,33,1.0,8349
1139,2139,32,1.0,12128
1140,13804,53,3.0,12031
1141,16419,109,6.0,40439
1142,7457,82,4.0,16974
1143,13886,79,4.0,17538
1144,3519,90,5.0,24930
1146,11008,124,6.0,45384
1147,6556,103,6.0,28428
1148,7457,119,5.0,45101
1149,13049,44,2.0,14960
1150,14499,72,4.0,14976
1151,5503,103,6.0,22454
1153,10327,37,1.0,8917
1154,7844,124,6.0,45136
1155,6791,31,2.0,10540
1156,2448,73,3.0,25769
1157,19662,32,1.0,11872
1158,4947,45,2.0,16740
1159,12037,86,3.0,33970
1162,10377,91,5.0,29848
1163,10529,127,8.0,45339
1164,13210,125,6.0,40125
1165,4645,120,5.0,47520
1166,14551,86,3.0,32422
1167,16467,91,4.0,23387
1168,2768,44,2.0,12892
1169,6469,70,4.0,27860
1171,3894,107,5.0,29746
1172,17491,80,3.0,25520
1173,12022,30,1.0,7830
1175,4788,122,6.0,32696
1176,18323,64,3.0,12800
1177,11901,64,3.0,23872
1178,6184,123,7.0,40221
1179,1827,46,2.0,12374
1180,12138,85,3.0,24990
1181,10562,53,3.0,16165
1182,9660,79,3.0,20935
1183,9113,66,2.0,17556
1184,1565,65,3.0,16770
1185,3661,106,5.0,28620
1186,5466,78,4.0,28704
1188,19583,103,6.0,20806
1189,19926,51,2.0,12750
1191,14127,122,7.0,32940
1192,5417,87,4.0,27927
1193,11231,99,6.0,32670
1194,3188,107,5.0,35203
1196,16694,42,2.0,15918
1199,8885,125,5.0,46250
1201,3579,94,4.0,25850
1205,12858,52,3.0,14924
1206,15977,48,2.0,18816
1207,8582,39,2.0,10140
1208,1440,55,3.0,20350
1209,8075,59,3.0,21771
1210,18460,77,4.0,26411
1211,5205,119,6.0,26299
1212,9142,58,3.0,16704
